item_nr,item_nr_old,item_number,answer,correct,audio_file,level,target_instrument,complexity,with_target_in_mix,condition_theoretical,time_song,song_nr,practice_item,old_audio_file_name,set_nr,condition,discrimination,guessing,inattention,difficulty,condition_difficulty_without_random_effects,item_difficulty,number_of_datapoints_per_cond,number_of_datapoints_per_item
1,3589,b_item3589_set1138_wit_lvl-15_comp6_t82_song1,1,1,b_item3589_set1138_wit_lvl-15_comp6_t82_song1.wav,-15,Bass,6,yes,40,82,1,no,Bass_ItemNr(3589)_SetNr(1138)_WiT_Level(-15)_Complexity(6)_Time(82)_SongNr(1).wav,1,40,1.95100641,0.402489139,0.995917503,2.386335346,2.273951478,2.903084836,472,37
2,3589,b_item3589_set1138_wit_lvl-10_comp6_t82_song1,1,1,b_item3589_set1138_wit_lvl-10_comp6_t82_song1.wav,-10,Bass,6,yes,32,82,1,no,Bass_ItemNr(3589)_SetNr(1138)_WiT_Level(-15)_Complexity(6)_Time(82)_SongNr(1).wav,1,38,1.95100641,0.402489139,0.995917503,1.146991388,1.010231267,1.70262481,502,44
3,3589,b_item3589_set1138_wit_lvl-5_comp6_t82_song1,1,1,b_item3589_set1138_wit_lvl-5_comp6_t82_song1.wav,-5,Bass,6,yes,20,82,1,no,Bass_ItemNr(3589)_SetNr(1138)_WiT_Level(-15)_Complexity(6)_Time(82)_SongNr(1).wav,1,32,1.95100641,0.402489139,0.995917503,0.434246861,0.248520775,0.893005696,496,29
4,3589,b_item3589_set1138_wit_lvl0_comp6_t82_song1,1,1,b_item3589_set1138_wit_lvl0_comp6_t82_song1.wav,0,Bass,6,yes,16,82,1,no,Bass_ItemNr(3589)_SetNr(1138)_WiT_Level(-15)_Complexity(6)_Time(82)_SongNr(1).wav,1,25,1.95100641,0.402489139,0.995917503,-0.08127129,-0.209977996,0.388569822,400,44
5,3626,git_item3626_set1047_wit_lvl-15_comp6_t36_song1,1,1,git_item3626_set1047_wit_lvl-15_comp6_t36_song1.wav,-15,Guitar,6,yes,38,36,1,no,Guitar_ItemNr(3626)_SetNr(1047)_WiT_Level(-15)_Complexity(6)_Time(36)_SongNr(1).wav,2,36,1.95100641,0.402489139,0.995917503,0.585861537,0.638811079,1.054264462,506,39
6,3626,git_item3626_set1047_wit_lvl-10_comp6_t36_song1,1,1,git_item3626_set1047_wit_lvl-10_comp6_t36_song1.wav,-10,Guitar,6,yes,30,36,1,no,Guitar_ItemNr(3626)_SetNr(1047)_WiT_Level(-15)_Complexity(6)_Time(36)_SongNr(1).wav,2,21,1.95100641,0.402489139,0.995917503,-0.526364198,-0.587335739,-0.306257439,496,38
7,3626,git_item3626_set1047_wit_lvl-5_comp6_t36_song1,1,1,git_item3626_set1047_wit_lvl-5_comp6_t36_song1.wav,-5,Guitar,6,yes,18,36,1,no,Guitar_ItemNr(3626)_SetNr(1047)_WiT_Level(-15)_Complexity(6)_Time(36)_SongNr(1).wav,2,12,1.95100641,0.402489139,0.995917503,-1.413249341,-1.357656067,-1.242936791,485,37
8,3626,git_item3626_set1047_wit_lvl0_comp6_t36_song1,1,1,git_item3626_set1047_wit_lvl0_comp6_t36_song1.wav,0,Guitar,6,yes,14,36,1,no,Guitar_ItemNr(3626)_SetNr(1047)_WiT_Level(-15)_Complexity(6)_Time(36)_SongNr(1).wav,2,8,1.95100641,0.402489139,0.995917503,-1.771482405,-1.832604192,-1.461454358,461,60
9,1402,p_item1402_set130_wit_lvl-15_comp6_t84_song2,1,1,p_item1402_set130_wit_lvl-15_comp6_t84_song2.wav,-15,Piano,6,yes,39,84,2,no,Piano_ItemNr(1402)_SetNr(130)_WiT_Level(-15)_Complexity(6)_Time(84)_SongNr(2).wav,3,34,1.95100641,0.402489139,0.995917503,-0.105948649,0.412665406,0.902408313,497,48
10,1402,p_item1402_set130_wit_lvl-10_comp6_t84_song2,1,1,p_item1402_set130_wit_lvl-10_comp6_t84_song2.wav,-10,Piano,6,yes,31,84,2,no,Piano_ItemNr(1402)_SetNr(130)_WiT_Level(-15)_Complexity(6)_Time(84)_SongNr(2).wav,3,18,1.95100641,0.402489139,0.995917503,-1.356829462,-0.815367825,-0.385397219,565,46
11,1402,p_item1402_set130_wit_lvl-5_comp6_t84_song2,1,1,p_item1402_set130_wit_lvl-5_comp6_t84_song2.wav,-5,Piano,6,yes,19,84,2,no,Piano_ItemNr(1402)_SetNr(130)_WiT_Level(-15)_Complexity(6)_Time(84)_SongNr(2).wav,3,10,1.95100641,0.402489139,0.995917503,-1.838454311,-1.590433562,-1.180833788,467,30
12,1402,p_item1402_set130_wit_lvl0_comp6_t84_song2,1,1,p_item1402_set130_wit_lvl0_comp6_t84_song2.wav,0,Piano,6,yes,15,84,2,no,Piano_ItemNr(1402)_SetNr(130)_WiT_Level(-15)_Complexity(6)_Time(84)_SongNr(2).wav,3,4,1.95100641,0.402489139,0.995917503,-2.271284098,-2.065891627,-1.635904313,593,76
13,739,git_item739_set228_wit_lvl-15_comp6_t140_song3,1,1,git_item739_set228_wit_lvl-15_comp6_t140_song3.wav,-15,Guitar,6,yes,38,140,3,no,Guitar_ItemNr(739)_SetNr(228)_WiT_Level(-15)_Complexity(6)_Time(140)_SongNr(3).wav,4,36,1.95100641,0.402489139,0.995917503,0.585861537,0.638811079,0.349452375,506,31
