item_number,correct,audio_file,SetNr,TargetIns,Comp,LVL,WiT,Condition,TimeStartSec,SongNr,NewStimFileName,ItemNr
git_item3626_set1047_wit_lvl-15_comp6_t36_song1,1,git_item3626_set1047_wit_lvl-15_comp6_t36_song1.wav,1047,Guitar,6,-15,wit,6,36,1,git_item3626_set1047_wit_lvl-15_comp6_t36_song1,3626
git_item3626_set1047_wit_lvl-10_comp6_t36_song1,1,git_item3626_set1047_wit_lvl-10_comp6_t36_song1.wav,1047,Guitar,6,-10,wit,6,36,1,git_item3626_set1047_wit_lvl-10_comp6_t36_song1,3626
git_item3626_set1047_wit_lvl-5_comp6_t36_song1,1,git_item3626_set1047_wit_lvl-5_comp6_t36_song1.wav,1047,Guitar,6,-5,wit,6,36,1,git_item3626_set1047_wit_lvl-5_comp6_t36_song1,3626
git_item3626_set1047_wit_lvl0_comp6_t36_song1,1,git_item3626_set1047_wit_lvl0_comp6_t36_song1.wav,1047,Guitar,6,0,wit,6,36,1,git_item3626_set1047_wit_lvl0_comp6_t36_song1,3626
b_item3589_set1138_wit_lvl-15_comp6_t82_song1,1,b_item3589_set1138_wit_lvl-15_comp6_t82_song1.wav,1138,Bass,6,-15,wit,14,82,1,b_item3589_set1138_wit_lvl-15_comp6_t82_song1,3589
b_item3589_set1138_wit_lvl-10_comp6_t82_song1,1,b_item3589_set1138_wit_lvl-10_comp6_t82_song1.wav,1138,Bass,6,-10,wit,14,82,1,b_item3589_set1138_wit_lvl-10_comp6_t82_song1,3589
b_item3589_set1138_wit_lvl-5_comp6_t82_song1,1,b_item3589_set1138_wit_lvl-5_comp6_t82_song1.wav,1138,Bass,6,-5,wit,14,82,1,b_item3589_set1138_wit_lvl-5_comp6_t82_song1,3589
b_item3589_set1138_wit_lvl0_comp6_t82_song1,1,b_item3589_set1138_wit_lvl0_comp6_t82_song1.wav,1138,Bass,6,0,wit,14,82,1,b_item3589_set1138_wit_lvl0_comp6_t82_song1,3589
voc_item2763_set588_wot_lvl0_comp4_t54_song2,2,voc_item2763_set588_wot_lvl0_comp4_t54_song2.wav,588,Lead,3,0,wot,3,54,2,voc_item2763_set588_wot_lvl0_comp4_t54_song2,2763
p_item1402_set130_wit_lvl-15_comp6_t84_song2,1,p_item1402_set130_wit_lvl-15_comp6_t84_song2.wav,130,Piano,6,-15,wit,10,84,2,p_item1402_set130_wit_lvl-15_comp6_t84_song2,1402
p_item1402_set130_wit_lvl-10_comp6_t84_song2,1,p_item1402_set130_wit_lvl-10_comp6_t84_song2.wav,130,Piano,6,-10,wit,10,84,2,p_item1402_set130_wit_lvl-10_comp6_t84_song2,1402
