item_nr,item_nr_MSA,item_nr_stim,item_number,answer,audio_file,correct,condition,condition_theoretical,level,target_instrument,complexity,with_target_in_mix,time_song,song_nr,practice_item,old_audio_file_name,set_nr,discrimination,guessing,inattention,difficulty,item_difficulty,condition_difficulty,number_of_datapoints_per_cond,number_of_datapoints_per_item,flagged_item
1,321,2763,voc_item2763_set588_wot_lvl0_comp4_t54_song2,2,voc_item2763_set588_wot_lvl0_comp4_t54_song2.wav,2,13,1,0,Lead,3,no,54,2,no,Lead_ItemNr(2763)_SetNr(588)_WoT_Level(0)_Complexity(4)_Time(54)_SongNr(2).wav,81,2.086082357,0.43384494,0.997392447,-1.1292963,-1.1292963,-1.259999631,2322,179,no
2,352,1136,voc_item1136_set195_wot_lvl0_comp4_t92_song34,2,voc_item1136_set195_wot_lvl0_comp4_t92_song34.wav,2,13,1,0,Lead,3,no,92,34,no,Lead_ItemNr(1136)_SetNr(195)_WoT_Level(0)_Complexity(4)_Time(92)_SongNr(34).wav,112,2.086082357,0.43384494,0.997392447,-1.201419146,-1.201419146,-1.259999631,2322,160,no
3,358,2658,voc_item2658_set544_wot_lvl0_comp4_t68_song56,2,voc_item2658_set544_wot_lvl0_comp4_t68_song56.wav,2,13,1,0,Lead,3,no,68,56,no,Lead_ItemNr(2658)_SetNr(544)_WoT_Level(0)_Complexity(4)_Time(68)_SongNr(56).wav,118,2.086082357,0.43384494,0.997392447,-1.339980205,-1.339980205,-1.259999631,2322,171,no
4,359,3038,voc_item3038_set696_wot_lvl0_comp4_t20_song57,2,voc_item3038_set696_wot_lvl0_comp4_t20_song57.wav,2,13,1,0,Lead,3,no,20,57,no,Lead_ItemNr(3038)_SetNr(696)_WoT_Level(0)_Complexity(4)_Time(20)_SongNr(57).wav,119,2.086082357,0.43384494,0.997392447,-1.281038698,-1.281038698,-1.259999631,2322,323,no
5,362,2006,voc_item2006_set345_wot_lvl0_comp4_t4_song59,2,voc_item2006_set345_wot_lvl0_comp4_t4_song59.wav,2,13,1,0,Lead,3,no,4,59,no,Lead_ItemNr(2006)_SetNr(345)_WoT_Level(0)_Complexity(4)_Time(4)_SongNr(59).wav,122,2.086082357,0.43384494,0.997392447,-1.648656154,-1.648656154,-1.259999631,2322,194,no
6,365,156,voc_item156_set029_wot_lvl0_comp4_t6_song62,2,voc_item156_set029_wot_lvl0_comp4_t6_song62.wav,2,13,1,0,Lead,3,no,6,62,no,Lead_ItemNr(156)_SetNr(029)_WoT_Level(0)_Complexity(4)_Time(6)_SongNr(62).wav,125,2.086082357,0.43384494,0.997392447,-1.027270102,-1.027270102,-1.259999631,2322,213,no
7,367,146,voc_item146_set026_wot_lvl0_comp4_t6_song65,2,voc_item146_set026_wot_lvl0_comp4_t6_song65.wav,2,13,1,0,Lead,3,no,6,65,no,Lead_ItemNr(146)_SetNr(026)_WoT_Level(0)_Complexity(4)_Time(6)_SongNr(65).wav,127,2.086082357,0.43384494,0.997392447,-1.233011179,-1.233011179,-1.259999631,2322,382,no
8,375,1383,voc_item1383_set232_wot_lvl0_comp4_t16_song75,2,voc_item1383_set232_wot_lvl0_comp4_t16_song75.wav,2,13,1,0,Lead,3,no,16,75,no,Lead_ItemNr(1383)_SetNr(232)_WoT_Level(0)_Complexity(4)_Time(16)_SongNr(75).wav,135,2.086082357,0.43384494,0.997392447,-1.622216427,-1.622216427,-1.259999631,2322,175,no
9,382,9,voc_item9_set003_wot_lvl0_comp4_t68_song85,2,voc_item9_set003_wot_lvl0_comp4_t68_song85.wav,2,13,1,0,Lead,3,no,68,85,no,Lead_ItemNr(9)_SetNr(003)_WoT_Level(0)_Complexity(4)_Time(68)_SongNr(85).wav,142,2.086082357,0.43384494,0.997392447,-1.215497395,-1.215497395,-1.259999631,2322,258,no
10,384,2713,voc_item2713_set565_wot_lvl0_comp4_t134_song95,2,voc_item2713_set565_wot_lvl0_comp4_t134_song95.wav,2,13,1,0,Lead,3,no,134,95,no,Lead_ItemNr(2713)_SetNr(565)_WoT_Level(0)_Complexity(4)_Time(134)_SongNr(95).wav,144,2.086082357,0.43384494,0.997392447,-1.262534682,-1.262534682,-1.259999631,2322,267,no
